PROJECT_ID,timestamp,house_no,RAW_P_H,RAW_P_H_PV,RAW_E_H_IM,RAW_E_H_EX,FLAG,date_only
SGtechMicrogrid,2025-04-05 00:00:00.803,h2,0.74,0.0,148170.58,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:01:00.847,h2,0.74,0.0,148170.59,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:02:00.847,h2,0.74,0.0,148170.61,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:03:00.897,h2,0.74,0.0,148170.61,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:04:00.937,h2,0.74,0.0,148170.63,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:05:00.970,h2,0.74,0.0,148170.64,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:06:01.020,h2,0.74,0.0,148170.66,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:07:00.033,h2,0.74,0.0,148170.66,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:08:00.097,h2,0.74,0.0,148170.67,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:09:00.093,h2,0.74,0.0,148170.69,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:10:00.140,h2,0.74,0.0,148170.7,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:11:00.183,h2,0.74,0.0,148170.72,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:12:00.230,h2,0.74,0.0,148170.72,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:13:00.257,h2,0.74,0.0,148170.73,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:14:00.300,h2,0.74,0.0,148170.75,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:15:00.340,h2,0.74,0.0,148170.77,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:16:00.390,h2,0.74,0.0,148170.78,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:17:00.403,h2,0.74,0.0,148170.78,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:18:00.467,h2,0.75,0.0,148170.8,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:19:00.483,h2,0.75,0.0,148170.81,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:20:00.533,h2,0.75,0.0,148170.83,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:21:00.563,h2,0.75,0.0,148170.83,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:22:00.630,h2,0.7,0.0,148170.84,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:23:00.643,h2,0.7,0.0,148170.86,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:24:00.660,h2,0.7,0.0,148170.88,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:25:00.680,h2,0.69,0.0,148170.88,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:26:00.750,h2,0.7,0.0,148170.89,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:27:00.780,h2,0.69,0.0,148170.91,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:28:00.803,h2,0.69,0.0,148170.91,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:29:00.840,h2,0.69,0.0,148170.92,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:30:00.850,h2,0.69,0.0,148170.94,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:31:00.910,h2,0.69,0.0,148170.95,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:32:00.937,h2,0.69,0.0,148170.95,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:33:00.983,h2,0.68,0.0,148170.97,0.0,0,2025-04-05
SGtechMicrogrid,2025-04-05 00:34:01.007,h2,0.69,0.0,148170.98,0.0,0,2025-04-05
